Baselines,Avg MSE,Stderr,Std MSE,Stderr Std
greedy_1,5.857746405520132,0.39774275027758793,2.359272551104064,0.2667736170813591
greedy_2,6.725795313768124,0.8125127384380849,3.8052286504342923,1.0758498034288493
greedy_3,6.17953663331505,0.6352897679509871,2.072478282272743,0.6653948351656085
greedy_4,5.476038837156772,0.33005815516906994,1.9877872808469867,0.3023760138431788
greedy_sum,6.212019868890767,0.6617042415465467,2.7678497318181434,1.2492873123841302
dynamic_beta,5.758069794752936,0.42424300339546556,2.0776049544638715,0.3736307187792639
joint,5.339083724255713,0.47456321471667356,2.1256291640510927,0.4364032902546491
rand,6.239905186939547,0.49571875669050186,2.178888188304627,0.43287954577417015
entropy,5.1715919022159325,0.1566379013926257,1.920964746995383,0.15145728205597125
ind,6.484442544258674,0.37491205991000903,1.2810665000431671,0.1364804967350188
