Methods,Final IG mean,Final IG mean (sem),Final IG std,Final IG std (sem)
ind,51.708491512196616,7.3691796978618545,0.5332382524534808,0.14251391758592813
rand,171.9490981945273,7.276352382709778,0.05984513051991958,0.042316897611629156
entropy,99.8251267325154,2.176201476548201,0.030830049941608283,0.021800137378031142
joint,182.09496762389676,7.2267441634052885,0.05612543685884459,0.03968667699994642
greedy_1,215.6730185227609,29.651224275844072,0.19442934400920275,0.13748230761055932
greedy_2,220.0728589593634,31.979641794536285,0.2055048648866678,0.14531388352818805
greedy_3,221.80798495781423,32.48988492637615,0.207150504124372,0.14647752619255533
greedy_4,223.2625675388837,14.59113634100838,0.09242473170203587,0.06535415453585684
greedysum,223.45982650132763,15.10922906420367,0.09562200505633892,0.06761496820599158
dynamic_beta,215.20572037939277,1.0412559974335118,0.006842561391382978,0.004838421560532161
